SOEM (Simple Open EtherCAT Master)
Simple test
Starting simple test
ec_init on eno3 succeeded.
1 slaves found and configured.
Found slaves with DC.
Slaves mapped, state to SAFE_OP.
segments : 1 : 20 0 0 0
Request operational state for all slaves
Calculated workcounter 3
Operational state reached for all slaves.


CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   93, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   94, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   95, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   96, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   97, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   98, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   99, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle  100, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle  101, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle  102, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
